Name,Movie_Code
 The Shawshank Redemption,tt0111161
 The Godfather,tt0068646
 The Dark Knight,tt0468569
 The Godfather Part II,tt0071562
 12 Angry Men,tt0050083
 Schindler's List,tt0108052
 The Lord of the Rings: The Return of the King,tt0167260
 Pulp Fiction,tt0110912
 The Lord of the Rings: The Fellowship of the Ring,tt0120737
" The Good, the Bad and the Ugly",tt0060196
 Forrest Gump,tt0109830
 The Lord of the Rings: The Two Towers,tt0167261
 Fight Club,tt0137523
 Inception,tt1375666
 Star Wars: Episode V - The Empire Strikes Back,tt0080684
 The Matrix,tt0133093
 Goodfellas,tt0099685
 One Flew Over the Cuckoo's Nest,tt0073486
 Interstellar,tt0816692
 Se7en,tt0114369
 It's a Wonderful Life,tt0038650
 Seven Samurai,tt0047478
 The Silence of the Lambs,tt0102926
 Saving Private Ryan,tt0120815
 City of God,tt0317248
 Life Is Beautiful,tt0118799
 The Green Mile,tt0120689
 Terminator 2: Judgment Day,tt0103064
 Star Wars: Episode IV - A New Hope,tt0076759
 Back to the Future,tt0088763
 Spirited Away,tt0245429
 The Pianist,tt0253474
 Parasite,tt6751668
 Psycho,tt0054215
 Gladiator,tt0172495
 The Lion King,tt0110357
 Spider-Man: Across the Spider-Verse,tt9362722
 The Departed,tt0407887
 Léon: The Professional,tt0110413
 American History X,tt0120586
 Whiplash,tt2582802
 Dune: Part Two,tt1523967
 The Prestige,tt0482571
 Grave of the Fireflies,tt0095327
 Harakiri,tt0056058
 The Usual Suspects,tt0114814
 Casablanca,tt0034583
 The Intouchables,tt1675434
 Cinema Paradiso,tt0095765
 Modern Times,tt0027977
 Rear Window,tt0047396
 Alien,tt0078748
 Once Upon a Time in the West,tt0064116
 City Lights,tt0021749
 Django Unchained,tt1853728
 Apocalypse Now,tt0078788
 Memento,tt0209144
 WALL·E,tt0910970
 Raiders of the Lost Ark,tt0082971
 12th Fail,tt2384920
 The Lives of Others,tt0405094
 Sunset Boulevard,tt0043014
 Avengers: Infinity War,tt4154756
 Paths of Glory,tt0050825
 Spider-Man: Into the Spider-Verse,tt4633694
 Witness for the Prosecution,tt0051201
 The Shining,tt0081505
 The Great Dictator,tt0032553
 Aliens,tt0090605
 Inglourious Basterds,tt0361748
 The Dark Knight Rises,tt1345836
 Coco,tt2380307
 Amadeus,tt0086879
 Dr,tt0057012
 Oldboy,tt0364569
 Toy Story,tt0114709
 American Beauty,tt0169547
 Avengers: Endgame,tt4154796
 Braveheart,tt0112573
 Das Boot,tt0082096
 Good Will Hunting,tt0119217
 Princess Mononoke,tt0119698
 Joker,tt7286456
 Your Name,tt5311514
 High and Low,tt0057565
 3 Idiots,tt1187043
 Once Upon a Time in America,tt0087843
 Singin' in the Rain,tt0045152
 Capernaum,tt8267604
 Come and See,tt0091251
 Requiem for a Dream,tt0180093
 Toy Story 3,tt0435761
 Star Wars: Episode VI - Return of the Jedi,tt0086190
 Eternal Sunshine of the Spotless Mind,tt0338013
 The Hunt,tt2106476
 2001: A Space Odyssey,tt0062622
 Ikiru,tt0044741
 Reservoir Dogs,tt0105236
 Lawrence of Arabia,tt0056172
 The Apartment,tt0053604
 Incendies,tt1255953
 Oppenheimer,tt1539877
 North by Northwest,tt0053125
 Scarface,tt0086250
 Citizen Kane,tt0033467
 Double Indemnity,tt0036775
 M,tt0022100
 Vertigo,tt0052357
 Full Metal Jacket,tt0093058
 Amélie,tt0211915
 Heat,tt0113277
 Up,tt1049413
 A Clockwork Orange,tt0066921
 To Kill a Mockingbird,tt0056592
 A Separation,tt1832382
 The Sting,tt0070735
 Die Hard,tt0095016
 Indiana Jones and the Last Crusade,tt0097576
 Like Stars on Earth,tt0986264
 Metropolis,tt0017136
 Snatch,tt0208092
 1917,tt8579674
 L,tt0119488
 Bicycle Thieves,tt0040522
 Hamilton,tt8503618
 Taxi Driver,tt0075314
 Downfall,tt0363163
 Dangal,tt5074352
 Batman Begins,tt0372784
 For a Few Dollars More,tt0059578
 The Wolf of Wall Street,tt0993846
 Green Book,tt6966692
 Some Like It Hot,tt0053291
 The Kid,tt0012349
 Judgment at Nuremberg,tt0055031
 The Father,tt1027238
 The Truman Show,tt0120382
 All About Eve,tt0042192
 Shutter Island,tt1130884
 There Will Be Blood,tt0469494
 Top Gun: Maverick,tt1745960
 Jurassic Park,tt0107290
 Casino,tt0112641
 Ran,tt0089881
 The Sixth Sense,tt0167404
 Pan's Labyrinth,tt0457430
 Unforgiven,tt0105695
 No Country for Old Men,tt0477348
 The Thing,tt0084787
 A Beautiful Mind,tt0268978
 Kill Bill: Vol,tt0266697
 The Treasure of the Sierra Madre,tt0040897
 Yojimbo,tt0055630
 The Great Escape,tt0057115
 Monty Python and the Holy Grail,tt0071853
 Finding Nemo,tt0266543
 Prisoners,tt1392214
 Howl's Moving Castle,tt0347149
 Rashomon,tt0042876
 The Elephant Man,tt0080678
 Dial M for Murder,tt0046912
 Chinatown,tt0071315
 Gone with the Wind,tt0031381
" Lock, Stock and Two Smoking Barrels",tt0120735
 V for Vendetta,tt0434409
 The Secret in Their Eyes,tt1305806
 Inside Out,tt2096673
 Raging Bull,tt0081398
" Three Billboards Outside Ebbing, Missouri",tt5027774
 Trainspotting,tt0117951
 The Bridge on the River Kwai,tt0050212
 Klaus,tt4729430
 Catch Me If You Can,tt0264464
 Fargo,tt0116282
 Warrior,tt1291584
 Spider-Man: No Way Home,tt1087260
 Gran Torino,tt1205489
 Harry Potter and the Deathly Hallows: Part 2,tt1201607
 Million Dollar Baby,tt0405159
 My Neighbor Totoro,tt0096283
 Mad Max: Fury Road,tt1392190
 Children of Heaven,tt0118849
 12 Years a Slave,tt2024544
 Ben-Hur,tt0052618
 Before Sunrise,tt0112471
 Barry Lyndon,tt0072684
 Blade Runner,tt0083658
 The Grand Budapest Hotel,tt2278388
 Hacksaw Ridge,tt2119532
 Gone Girl,tt2267998
 Dead Poets Society,tt0097165
 Memories of Murder,tt0353969
 In the Name of the Father,tt0107207
 The Gold Rush,tt0015864
" Monsters, Inc",tt0198781
 Wild Tales,tt3011894
 The Deer Hunter,tt0077416
 The General,tt0017925
 Jaws,tt0073195
 On the Waterfront,tt0047296
 Sherlock Jr,tt0015324
 How to Train Your Dragon,tt0892769
 Ratatouille,tt0382932
 Mary and Max,tt0978762
 The Third Man,tt0041959
 The Wages of Fear,tt0046268
 Wild Strawberries,tt0050986
 Ford v Ferrari,tt1950186
 Mr,tt0031679
 Maharaja,tt2654826
 Tokyo Story,tt0046438
 Rocky,tt0075148
 Logan,tt3315342
 The Big Lebowski,tt0118715
 The Seventh Seal,tt0050976
 Room,tt3170832
 Spotlight,tt1895587
 The Terminator,tt0088247
 Hotel Rwanda,tt0395169
 Platoon,tt0091763
 La haine,tt0113247
 Before Sunset,tt0381681
 Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
 Jai Bhim,tt1509721
 The Passion of Joan of Arc,tt0019254
 The Best Years of Our Lives,tt0036868
 The Exorcist,tt0070047
 Rush,tt1979320
 Network,tt0074958
 The Wizard of Oz,tt0032138
 The Incredibles,tt0317705
 Stand by Me,tt0092005
 Hachi: A Dog's Tale,tt1028532
 The Sound of Music,tt0059742
 The Handmaiden,tt4016934
 My Father and My Son,tt0476735
 To Be or Not to Be,tt0035446
 Into the Wild,tt0758758
 The Battle of Algiers,tt0058946
 Groundhog Day,tt0107048
 The Grapes of Wrath,tt0032551
 The Iron Giant,tt0129167
 Amores Perros,tt0245712
 Rebecca,tt0032976
 Cool Hand Luke,tt0061512
 The Help,tt1454029
 It Happened One Night,tt0025316
 Aladdin,tt0103639
" Paris, Texas",tt0087884
 Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,tt1103237
